attendance,studyHours,internalTotal,assignments,participation,performance
73,1.1,162,4,Low,Fail
73,4.5,169,6,Medium,Fail
68,5.0,130,4,Medium,Fail
95,1.6,132,5,Medium,Fail
80,0.8,106,4,Medium,Fail
59,4.7,161,4,Low,Fail
81,4.6,156,4,Low,Fail
71,5.3,136,4,High,Fail
52,4.2,136,6,Medium,Fail
69,0.6,112,3,Low,Fail
88,2.5,189,2,Medium,Fail
48,4.1,105,4,Medium,Fail
57,3.1,122,1,Low,Fail
71,5.5,127,2,High,Fail
90,4.6,176,3,High,Fail
67,1.4,167,3,High,Fail
79,4.8,179,6,Medium,Fail
56,4.1,171,5,Medium,Fail
95,1.3,172,5,High,Fail
99,2.3,123,0,Medium,Fail
62,1.4,175,5,Medium,Fail
87,3.2,226,4,High,Pass
71,1.8,185,3,Medium,Fail
96,4.3,95,1,High,Fail
47,5.7,112,1,Medium,Fail
56,5.6,142,4,Medium,Fail
49,4.0,162,3,Low,Fail
76,1.1,192,5,High,Fail
72,3.6,142,1,High,Fail
55,5.5,165,0,Medium,Fail
85,3.6,225,3,Medium,Fail
70,5.9,149,5,Low,Fail
58,4.2,220,5,Low,Fail
46,1.1,169,6,High,Fail
58,0.7,147,5,Medium,Fail
89,3.2,144,6,Medium,Fail
100,4.0,164,4,Low,Fail
45,5.7,123,0,Medium,Fail
62,2.1,161,0,High,Fail
72,1.6,175,6,High,Fail
51,1.9,204,3,High,Fail
99,3.0,184,6,Medium,Fail
54,0.8,194,1,High,Fail
77,3.2,152,1,Low,Fail
62,6.0,145,1,Low,Fail
67,1.9,163,2,Low,Fail
50,4.2,135,1,Low,Fail
93,3.0,168,5,Medium,Fail
96,3.7,139,6,Medium,Fail
45,3.7,141,2,Medium,Fail
78,2.7,102,0,Low,Fail
70,3.6,172,2,Medium,Fail
99,2.4,157,3,High,Fail
73,4.6,127,6,Medium,Fail
61,4.4,193,0,High,Fail
75,3.6,140,2,Low,Fail
93,4.4,188,4,High,Fail
94,0.6,118,6,Low,Fail
67,1.2,144,3,High,Fail
59,3.6,157,2,Low,Fail
76,3.9,180,4,High,Fail
54,5.4,138,6,Low,Fail
63,0.8,153,6,Medium,Fail
83,5.3,160,1,High,Fail
59,5.8,161,1,Medium,Fail
87,1.0,178,0,Medium,Fail
62,3.0,167,5,High,Fail
65,0.8,168,4,Medium,Fail
70,3.4,141,0,Low,Fail
45,6.0,118,1,Low,Fail
86,1.4,154,5,High,Fail
91,4.9,149,1,High,Fail
88,5.6,132,5,Medium,Fail
88,2.7,143,0,Low,Fail
51,2.0,195,3,High,Fail
56,1.1,122,4,Medium,Fail
62,2.2,192,6,Medium,Fail
63,3.0,153,1,High,Fail
67,5.8,170,5,Medium,Fail
51,5.2,148,3,Low,Fail
96,2.9,139,6,Low,Fail
45,4.1,139,3,High,Fail
65,5.3,137,6,Low,Fail
84,5.7,140,0,Medium,Fail
61,5.9,194,0,High,Fail
47,1.3,174,1,High,Fail
62,2.4,129,0,Low,Fail
97,5.6,164,3,Low,Fail
97,0.7,178,5,High,Fail
55,3.8,174,3,Medium,Fail
86,0.9,201,5,Low,Fail
66,5.4,154,2,High,Fail
57,3.8,137,5,Medium,Fail
71,1.4,130,4,Low,Fail
92,4.1,120,0,Medium,Fail
45,0.7,116,5,Low,Fail
52,1.5,156,0,High,Fail
71,1.8,121,4,High,Fail
96,5.9,158,5,Medium,Fail
69,3.3,133,6,Low,Fail
64,2.2,133,1,Low,Fail
83,5.5,124,1,Medium,Fail
75,5.0,156,1,High,Fail
98,2.4,155,6,Low,Fail
57,3.2,145,5,Medium,Fail
85,3.1,197,4,Medium,Fail
71,3.7,92,6,Medium,Fail
55,4.8,147,0,High,Fail
62,5.2,190,5,Medium,Fail
74,0.8,156,6,Medium,Fail
45,1.6,114,2,Medium,Fail
55,1.8,161,0,Medium,Fail
51,4.6,131,6,High,Fail
45,3.0,148,2,Low,Fail
84,3.2,130,6,High,Fail
91,2.6,187,2,Low,Fail
46,4.9,173,2,Medium,Fail
79,4.5,164,3,High,Fail
73,5.2,190,4,Medium,Fail
91,5.7,149,6,Low,Fail
83,0.7,200,6,Low,Fail
84,4.6,131,2,High,Fail
60,3.2,158,6,Medium,Fail
83,5.9,125,2,Low,Fail
77,5.1,156,3,High,Fail
58,0.7,161,4,Medium,Fail
80,1.0,127,5,Medium,Fail
74,4.1,146,5,Medium,Fail
53,4.4,136,0,Medium,Fail
61,1.6,132,4,Low,Fail
81,4.0,146,2,Low,Fail
48,5.0,143,4,High,Fail
58,4.1,174,6,High,Fail
100,1.2,193,3,Low,Fail
91,1.7,166,3,High,Fail
86,4.3,112,6,High,Fail
86,2.3,134,6,Medium,Fail
97,3.6,144,2,High,Fail
47,2.1,179,1,High,Fail
89,5.2,164,5,High,Fail
88,0.8,181,4,Medium,Fail
91,5.2,162,0,Low,Fail
57,1.8,153,5,Low,Fail
53,0.7,99,3,Low,Fail
58,1.3,193,6,High,Fail
68,3.5,202,1,Medium,Fail
86,5.9,215,1,Medium,Fail
60,3.0,126,3,Low,Fail
59,1.2,151,2,Medium,Fail
61,4.6,203,3,Medium,Fail
61,3.9,160,6,High,Fail
63,3.5,151,5,High,Fail
83,1.9,120,5,Low,Fail
100,2.2,96,4,High,Fail
66,5.0,170,0,Low,Fail
67,3.2,166,4,Medium,Fail
54,5.2,167,3,High,Fail
57,5.7,150,1,High,Fail
80,4.3,93,2,Medium,Fail
83,5.5,157,4,High,Fail
74,2.8,129,1,Medium,Fail
51,4.9,125,1,High,Fail
93,5.5,119,3,Low,Fail
68,0.9,141,1,Medium,Fail
100,3.3,140,6,High,Fail
73,2.0,133,5,High,Fail
88,1.1,123,0,Low,Fail
83,4.1,119,2,Medium,Fail
45,4.5,166,1,Low,Fail
51,1.3,108,4,Medium,Fail
83,2.4,105,3,Medium,Fail
70,4.2,153,1,Low,Fail
99,0.6,101,0,Medium,Fail
81,4.3,160,0,Medium,Fail
72,1.3,127,4,High,Fail
75,2.6,170,0,High,Fail
59,0.9,141,5,Medium,Fail
46,3.3,174,0,High,Fail
72,5.8,145,5,Low,Fail
81,3.9,159,5,Medium,Fail
50,5.8,171,5,Medium,Fail
79,5.0,63,2,Medium,Fail
76,1.5,156,6,High,Fail
